Self-contained mixed-variable MOO wrappers generated by generate_selfcontained_wrappers_MOO_mix.m
Variables follow a deterministic C/K/D/C/D/K cyclic pattern; heterogeneity applies only to C variables.
D values are nonuniform and sorted; K values are nonuniform embeddings with permuted labels.

baseline_1/ex005_mix.m    (source=ex005, n=2, m=2, C=1, D=0, K=1, kappa=1)
baseline_1/Deb512b_mix.m    (source=Deb512b, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/Deb512b_mix.m    (source=Deb512b, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/Deb512b_mix.m    (source=Deb512b, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/Deb512b_mix.m    (source=Deb512b, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/Deb512b_mix.m    (source=Deb512b, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Deb512b_mix.m    (source=Deb512b, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/Deb512b_mix.m    (source=Deb512b, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/Deb512b_mix.m    (source=Deb512b, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/Deb512c_mix.m    (source=Deb512c, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/Deb512c_mix.m    (source=Deb512c, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/Deb512c_mix.m    (source=Deb512c, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/Deb512c_mix.m    (source=Deb512c, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/Deb512c_mix.m    (source=Deb512c, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Deb512c_mix.m    (source=Deb512c, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/Deb512c_mix.m    (source=Deb512c, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/Deb512c_mix.m    (source=Deb512c, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/Deb513_mix.m    (source=Deb513, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/Deb513_mix.m    (source=Deb513, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/Deb513_mix.m    (source=Deb513, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/Deb513_mix.m    (source=Deb513, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/Deb513_mix.m    (source=Deb513, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Deb513_mix.m    (source=Deb513, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/Deb513_mix.m    (source=Deb513, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/Deb513_mix.m    (source=Deb513, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/Deb521a_mix.m    (source=Deb521a, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/Deb521a_mix.m    (source=Deb521a, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/Deb521a_mix.m    (source=Deb521a, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/Deb521a_mix.m    (source=Deb521a, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/Deb521a_mix.m    (source=Deb521a, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Deb521a_mix.m    (source=Deb521a, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/Deb521a_mix.m    (source=Deb521a, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/Deb521a_mix.m    (source=Deb521a, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/Deb521b_mix.m    (source=Deb521b, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/Deb521b_mix.m    (source=Deb521b, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/Deb521b_mix.m    (source=Deb521b, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/Deb521b_mix.m    (source=Deb521b, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/Deb521b_mix.m    (source=Deb521b, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Deb521b_mix.m    (source=Deb521b, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/Deb521b_mix.m    (source=Deb521b, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/Deb521b_mix.m    (source=Deb521b, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/Deb53_mix.m    (source=Deb53, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/Deb53_mix.m    (source=Deb53, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/Deb53_mix.m    (source=Deb53, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/Deb53_mix.m    (source=Deb53, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/Deb53_mix.m    (source=Deb53, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Deb53_mix.m    (source=Deb53, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/Deb53_mix.m    (source=Deb53, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/Deb53_mix.m    (source=Deb53, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/ZDT1_mix.m    (source=ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=1)
moderate_1e4/ZDT1_mix.m    (source=ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=10000)
progressive_1e6/ZDT1_mix.m    (source=ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
extreme_1e8/ZDT1_mix.m    (source=ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=100000000)
sobol_oscillatory_1e6/ZDT1_mix.m    (source=ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
sobol_digit_oscillatory_1e6/ZDT1_mix.m    (source=ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
spatial_thermal_9e4/ZDT1_mix.m    (source=ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=90000)
halton_oscillatory_1e6/ZDT1_mix.m    (source=ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
baseline_1/ZDT2_mix.m    (source=ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=1)
moderate_1e4/ZDT2_mix.m    (source=ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=10000)
progressive_1e6/ZDT2_mix.m    (source=ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
extreme_1e8/ZDT2_mix.m    (source=ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=100000000)
sobol_oscillatory_1e6/ZDT2_mix.m    (source=ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
sobol_digit_oscillatory_1e6/ZDT2_mix.m    (source=ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
spatial_thermal_9e4/ZDT2_mix.m    (source=ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=90000)
halton_oscillatory_1e6/ZDT2_mix.m    (source=ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
baseline_1/ZDT3_mix.m    (source=ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=1)
moderate_1e4/ZDT3_mix.m    (source=ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=10000)
progressive_1e6/ZDT3_mix.m    (source=ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
extreme_1e8/ZDT3_mix.m    (source=ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=100000000)
sobol_oscillatory_1e6/ZDT3_mix.m    (source=ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
sobol_digit_oscillatory_1e6/ZDT3_mix.m    (source=ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
spatial_thermal_9e4/ZDT3_mix.m    (source=ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=90000)
halton_oscillatory_1e6/ZDT3_mix.m    (source=ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
baseline_1/ZDT4_mix.m    (source=ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=1)
moderate_1e4/ZDT4_mix.m    (source=ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=10000)
progressive_1e6/ZDT4_mix.m    (source=ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
extreme_1e8/ZDT4_mix.m    (source=ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=100000000)
sobol_oscillatory_1e6/ZDT4_mix.m    (source=ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/ZDT4_mix.m    (source=ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
spatial_thermal_9e4/ZDT4_mix.m    (source=ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=90000)
halton_oscillatory_1e6/ZDT4_mix.m    (source=ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
baseline_1/ZDT6_mix.m    (source=ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=1)
moderate_1e4/ZDT6_mix.m    (source=ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=10000)
progressive_1e6/ZDT6_mix.m    (source=ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
extreme_1e8/ZDT6_mix.m    (source=ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=100000000)
sobol_oscillatory_1e6/ZDT6_mix.m    (source=ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/ZDT6_mix.m    (source=ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
spatial_thermal_9e4/ZDT6_mix.m    (source=ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=90000)
halton_oscillatory_1e6/ZDT6_mix.m    (source=ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
baseline_1/DTLZ1_mix.m    (source=DTLZ1, n=7, m=3, C=3, D=2, K=2, kappa=1)
moderate_1e4/DTLZ1_mix.m    (source=DTLZ1, n=7, m=3, C=3, D=2, K=2, kappa=10000)
progressive_1e6/DTLZ1_mix.m    (source=DTLZ1, n=7, m=3, C=3, D=2, K=2, kappa=1000000)
extreme_1e8/DTLZ1_mix.m    (source=DTLZ1, n=7, m=3, C=3, D=2, K=2, kappa=100000000)
sobol_oscillatory_1e6/DTLZ1_mix.m    (source=DTLZ1, n=7, m=3, C=3, D=2, K=2, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ1_mix.m    (source=DTLZ1, n=7, m=3, C=3, D=2, K=2, kappa=1000000)
spatial_thermal_9e4/DTLZ1_mix.m    (source=DTLZ1, n=7, m=3, C=3, D=2, K=2, kappa=90000)
halton_oscillatory_1e6/DTLZ1_mix.m    (source=DTLZ1, n=7, m=3, C=3, D=2, K=2, kappa=1000000)
baseline_1/DTLZ2_mix.m    (source=DTLZ2, n=12, m=3, C=4, D=4, K=4, kappa=1)
moderate_1e4/DTLZ2_mix.m    (source=DTLZ2, n=12, m=3, C=4, D=4, K=4, kappa=10000)
progressive_1e6/DTLZ2_mix.m    (source=DTLZ2, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
extreme_1e8/DTLZ2_mix.m    (source=DTLZ2, n=12, m=3, C=4, D=4, K=4, kappa=100000000)
sobol_oscillatory_1e6/DTLZ2_mix.m    (source=DTLZ2, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ2_mix.m    (source=DTLZ2, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
spatial_thermal_9e4/DTLZ2_mix.m    (source=DTLZ2, n=12, m=3, C=4, D=4, K=4, kappa=90000)
halton_oscillatory_1e6/DTLZ2_mix.m    (source=DTLZ2, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
baseline_1/DTLZ3_mix.m    (source=DTLZ3, n=12, m=3, C=4, D=4, K=4, kappa=1)
moderate_1e4/DTLZ3_mix.m    (source=DTLZ3, n=12, m=3, C=4, D=4, K=4, kappa=10000)
progressive_1e6/DTLZ3_mix.m    (source=DTLZ3, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
extreme_1e8/DTLZ3_mix.m    (source=DTLZ3, n=12, m=3, C=4, D=4, K=4, kappa=100000000)
sobol_oscillatory_1e6/DTLZ3_mix.m    (source=DTLZ3, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ3_mix.m    (source=DTLZ3, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
spatial_thermal_9e4/DTLZ3_mix.m    (source=DTLZ3, n=12, m=3, C=4, D=4, K=4, kappa=90000)
halton_oscillatory_1e6/DTLZ3_mix.m    (source=DTLZ3, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
baseline_1/DTLZ4_mix.m    (source=DTLZ4, n=12, m=3, C=4, D=4, K=4, kappa=1)
moderate_1e4/DTLZ4_mix.m    (source=DTLZ4, n=12, m=3, C=4, D=4, K=4, kappa=10000)
progressive_1e6/DTLZ4_mix.m    (source=DTLZ4, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
extreme_1e8/DTLZ4_mix.m    (source=DTLZ4, n=12, m=3, C=4, D=4, K=4, kappa=100000000)
sobol_oscillatory_1e6/DTLZ4_mix.m    (source=DTLZ4, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ4_mix.m    (source=DTLZ4, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
spatial_thermal_9e4/DTLZ4_mix.m    (source=DTLZ4, n=12, m=3, C=4, D=4, K=4, kappa=90000)
halton_oscillatory_1e6/DTLZ4_mix.m    (source=DTLZ4, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
baseline_1/DTLZ5_mix.m    (source=DTLZ5, n=12, m=3, C=4, D=4, K=4, kappa=1)
moderate_1e4/DTLZ5_mix.m    (source=DTLZ5, n=12, m=3, C=4, D=4, K=4, kappa=10000)
progressive_1e6/DTLZ5_mix.m    (source=DTLZ5, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
extreme_1e8/DTLZ5_mix.m    (source=DTLZ5, n=12, m=3, C=4, D=4, K=4, kappa=100000000)
sobol_oscillatory_1e6/DTLZ5_mix.m    (source=DTLZ5, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ5_mix.m    (source=DTLZ5, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
spatial_thermal_9e4/DTLZ5_mix.m    (source=DTLZ5, n=12, m=3, C=4, D=4, K=4, kappa=90000)
halton_oscillatory_1e6/DTLZ5_mix.m    (source=DTLZ5, n=12, m=3, C=4, D=4, K=4, kappa=1000000)
baseline_1/DTLZ6_mix.m    (source=DTLZ6, n=22, m=3, C=8, D=7, K=7, kappa=1)
moderate_1e4/DTLZ6_mix.m    (source=DTLZ6, n=22, m=3, C=8, D=7, K=7, kappa=10000)
progressive_1e6/DTLZ6_mix.m    (source=DTLZ6, n=22, m=3, C=8, D=7, K=7, kappa=1000000)
extreme_1e8/DTLZ6_mix.m    (source=DTLZ6, n=22, m=3, C=8, D=7, K=7, kappa=100000000)
sobol_oscillatory_1e6/DTLZ6_mix.m    (source=DTLZ6, n=22, m=3, C=8, D=7, K=7, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ6_mix.m    (source=DTLZ6, n=22, m=3, C=8, D=7, K=7, kappa=1000000)
spatial_thermal_9e4/DTLZ6_mix.m    (source=DTLZ6, n=22, m=3, C=8, D=7, K=7, kappa=90000)
halton_oscillatory_1e6/DTLZ6_mix.m    (source=DTLZ6, n=22, m=3, C=8, D=7, K=7, kappa=1000000)
baseline_1/DTLZ1n2_mix.m    (source=DTLZ1n2, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/DTLZ1n2_mix.m    (source=DTLZ1n2, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/DTLZ1n2_mix.m    (source=DTLZ1n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/DTLZ1n2_mix.m    (source=DTLZ1n2, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/DTLZ1n2_mix.m    (source=DTLZ1n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ1n2_mix.m    (source=DTLZ1n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/DTLZ1n2_mix.m    (source=DTLZ1n2, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/DTLZ1n2_mix.m    (source=DTLZ1n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/DTLZ2n2_mix.m    (source=DTLZ2n2, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/DTLZ2n2_mix.m    (source=DTLZ2n2, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/DTLZ2n2_mix.m    (source=DTLZ2n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/DTLZ2n2_mix.m    (source=DTLZ2n2, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/DTLZ2n2_mix.m    (source=DTLZ2n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ2n2_mix.m    (source=DTLZ2n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/DTLZ2n2_mix.m    (source=DTLZ2n2, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/DTLZ2n2_mix.m    (source=DTLZ2n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/DTLZ3n2_mix.m    (source=DTLZ3n2, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/DTLZ3n2_mix.m    (source=DTLZ3n2, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/DTLZ3n2_mix.m    (source=DTLZ3n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/DTLZ3n2_mix.m    (source=DTLZ3n2, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/DTLZ3n2_mix.m    (source=DTLZ3n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ3n2_mix.m    (source=DTLZ3n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/DTLZ3n2_mix.m    (source=DTLZ3n2, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/DTLZ3n2_mix.m    (source=DTLZ3n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/DTLZ4n2_mix.m    (source=DTLZ4n2, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/DTLZ4n2_mix.m    (source=DTLZ4n2, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/DTLZ4n2_mix.m    (source=DTLZ4n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/DTLZ4n2_mix.m    (source=DTLZ4n2, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/DTLZ4n2_mix.m    (source=DTLZ4n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ4n2_mix.m    (source=DTLZ4n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/DTLZ4n2_mix.m    (source=DTLZ4n2, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/DTLZ4n2_mix.m    (source=DTLZ4n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/DTLZ5n2_mix.m    (source=DTLZ5n2, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/DTLZ5n2_mix.m    (source=DTLZ5n2, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/DTLZ5n2_mix.m    (source=DTLZ5n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/DTLZ5n2_mix.m    (source=DTLZ5n2, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/DTLZ5n2_mix.m    (source=DTLZ5n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ5n2_mix.m    (source=DTLZ5n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/DTLZ5n2_mix.m    (source=DTLZ5n2, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/DTLZ5n2_mix.m    (source=DTLZ5n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/DTLZ6n2_mix.m    (source=DTLZ6n2, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/DTLZ6n2_mix.m    (source=DTLZ6n2, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/DTLZ6n2_mix.m    (source=DTLZ6n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/DTLZ6n2_mix.m    (source=DTLZ6n2, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/DTLZ6n2_mix.m    (source=DTLZ6n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ6n2_mix.m    (source=DTLZ6n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/DTLZ6n2_mix.m    (source=DTLZ6n2, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/DTLZ6n2_mix.m    (source=DTLZ6n2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/DTLZ1_4_mix.m    (source=DTLZ1_4, n=7, m=4, C=3, D=2, K=2, kappa=1)
moderate_1e4/DTLZ1_4_mix.m    (source=DTLZ1_4, n=7, m=4, C=3, D=2, K=2, kappa=10000)
progressive_1e6/DTLZ1_4_mix.m    (source=DTLZ1_4, n=7, m=4, C=3, D=2, K=2, kappa=1000000)
extreme_1e8/DTLZ1_4_mix.m    (source=DTLZ1_4, n=7, m=4, C=3, D=2, K=2, kappa=100000000)
sobol_oscillatory_1e6/DTLZ1_4_mix.m    (source=DTLZ1_4, n=7, m=4, C=3, D=2, K=2, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ1_4_mix.m    (source=DTLZ1_4, n=7, m=4, C=3, D=2, K=2, kappa=1000000)
spatial_thermal_9e4/DTLZ1_4_mix.m    (source=DTLZ1_4, n=7, m=4, C=3, D=2, K=2, kappa=90000)
halton_oscillatory_1e6/DTLZ1_4_mix.m    (source=DTLZ1_4, n=7, m=4, C=3, D=2, K=2, kappa=1000000)
baseline_1/DTLZ1_5_mix.m    (source=DTLZ1_5, n=7, m=5, C=3, D=2, K=2, kappa=1)
